,batch_size,num_nodes,failure_rate,failure_duration
0,64.0,1.0,0.0,0.0
1,64.0,1.0,0.0,0.0
2,64.0,1.0,0.0,0.0
3,64.0,1.0,0.0,0.0
4,64.0,1.0,0.0,0.0
5,64.0,1.0,0.0,20.0
6,64.0,1.0,0.0,20.0
7,64.0,1.0,0.0,20.0
8,64.0,1.0,0.0,20.0
9,64.0,1.0,0.0,20.0
10,64.0,1.0,0.5,0.0
11,64.0,1.0,0.5,0.0
12,64.0,1.0,0.5,0.0
13,64.0,1.0,0.5,0.0
14,64.0,1.0,0.5,0.0
15,64.0,1.0,0.5,20.0
16,64.0,1.0,0.5,20.0
17,64.0,1.0,0.5,20.0
18,64.0,1.0,0.5,20.0
19,64.0,1.0,0.5,20.0
20,64.0,4.0,0.0,0.0
21,64.0,4.0,0.0,0.0
22,64.0,4.0,0.0,0.0
23,64.0,4.0,0.0,0.0
24,64.0,4.0,0.0,0.0
25,64.0,4.0,0.0,20.0
26,64.0,4.0,0.0,20.0
27,64.0,4.0,0.0,20.0
28,64.0,4.0,0.0,20.0
29,64.0,4.0,0.0,20.0
30,64.0,4.0,0.5,0.0
31,64.0,4.0,0.5,0.0
32,64.0,4.0,0.5,0.0
33,64.0,4.0,0.5,0.0
34,64.0,4.0,0.5,0.0
35,64.0,4.0,0.5,20.0
36,64.0,4.0,0.5,20.0
37,64.0,4.0,0.5,20.0
38,64.0,4.0,0.5,20.0
39,64.0,4.0,0.5,20.0
40,256.0,1.0,0.0,0.0
41,256.0,1.0,0.0,0.0
42,256.0,1.0,0.0,0.0
43,256.0,1.0,0.0,0.0
44,256.0,1.0,0.0,0.0
45,256.0,1.0,0.0,20.0
46,256.0,1.0,0.0,20.0
47,256.0,1.0,0.0,20.0
48,256.0,1.0,0.0,20.0
49,256.0,1.0,0.0,20.0
50,256.0,1.0,0.5,0.0
51,256.0,1.0,0.5,0.0
52,256.0,1.0,0.5,0.0
53,256.0,1.0,0.5,0.0
54,256.0,1.0,0.5,0.0
55,256.0,1.0,0.5,20.0
56,256.0,1.0,0.5,20.0
57,256.0,1.0,0.5,20.0
58,256.0,1.0,0.5,20.0
59,256.0,1.0,0.5,20.0
60,256.0,4.0,0.0,0.0
61,256.0,4.0,0.0,0.0
62,256.0,4.0,0.0,0.0
63,256.0,4.0,0.0,0.0
64,256.0,4.0,0.0,0.0
65,256.0,4.0,0.0,20.0
66,256.0,4.0,0.0,20.0
67,256.0,4.0,0.0,20.0
68,256.0,4.0,0.0,20.0
69,256.0,4.0,0.0,20.0
70,256.0,4.0,0.5,0.0
71,256.0,4.0,0.5,0.0
72,256.0,4.0,0.5,0.0
73,256.0,4.0,0.5,0.0
74,256.0,4.0,0.5,0.0
75,256.0,4.0,0.5,20.0
76,256.0,4.0,0.5,20.0
77,256.0,4.0,0.5,20.0
78,256.0,4.0,0.5,20.0
79,256.0,4.0,0.5,20.0
